cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Bleu L'Ermite,https://www.cheese.com/bleu-lermite/,cow,Canada,Quebec,Blue,"semi-soft, artisan, blue-veined",33.30%,547.3 mg/100g,"creamy, crumbly",natural,cream,"mushroomy, nutty, salty, sharp",fermented,FALSE,FALSE,"Ermite (L'), Bleu Ermite, Blue Hermit",,Abbey de Saint-Benoit-du-lac
Bleubry,https://www.cheese.com/bleubry/,cow,Canada,Quebec,Blue,"soft, blue-veined",31.00%,556.1 mg/100g,"creamy, smooth, supple",mold ripened,cream,"creamy, mild, savory",pungent,FALSE,FALSE,,,La Maison Alexis de Portneuf Inc.
Blu '61,https://www.cheese.com/blu-61/,cow,Italy,Veneto,Blue,"soft, blue-veined",31.50%,594.6 mg/100g,"creamy, soft",,white,"creamy, pronounced, strong","fruity, rich, sweet",FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Blu Della Casera,https://www.cheese.com/blu-della-casera/,"cow, sheep",Italy,Piedmont,Blue,"soft, blue-veined",30.40%,565.4 mg/100g,soft,leaf wrapped,ivory,"creamy, strong",,,,,,La Casera srl
Blu di Bufala,https://www.cheese.com/blu-di-bufala/,water buffalo,Italy,Lombardy,Blue,"semi-firm, artisan, blue-veined",30.20%,596.5 mg/100g,"creamy, crumbly",natural,cream,"acidic, milky, sweet, tangy","fresh, milky",FALSE,FALSE,,,
Blue,https://www.cheese.com/vegan-blue/,plant-based,United Kingdom,,Blue,soft,30.30%,538.0 mg/100g,"creamy, soft-ripened",mold ripened,blue,"creamy, mild, smooth","milky, ripe",TRUE,TRUE,,,Honestly Tasty
Blue Castello,https://www.cheese.com/blue-castello/,cow,Denmark,,Blue,soft,30.30%,589.6 mg/100g,"creamy, smooth",washed,blue,buttery,spicy,,,,,
Blue Cheese,https://www.cheese.com/blue-vein-cheese/,"cow, goat, sheep",,,Blue,"semi-soft, blue-veined",31.50%,514.7 mg/100g,creamy,,blue,"salty, sharp, tangy","stinky, strong",FALSE,FALSE,"Blue cheese, Bleu cheese, Erborinato, Blue-Vein Cheese",,
Blue Clouds,https://www.cheese.com/blue-clouds/,cow,United Kingdom,,Blue,semi-soft,29.90%,584.8 mg/100g,creamy,,blue,,,TRUE,FALSE,,,
Blue Lupine,https://www.cheese.com/blue-lupine/,goat,United States,California,Blue,"semi-soft, blue-veined",30.30%,522.1 mg/100g,"creamy, dense",natural,,tangy,goaty,,,,,Weirauch Farm and Creamery
Blue Rathgore,https://www.cheese.com/blue-rathgore/,goat,Ireland,County Antrim,Blue,"semi-soft, artisan",30.00%,587.0 mg/100g,"creamy, crumbly",natural,ivory,"buttery, spicy",,TRUE,FALSE,,,
Blue Vein (Australian),https://www.cheese.com/blue-vein-australian/,cow,Australia,,Blue,"semi-soft, blue-veined",33.30%,522.8 mg/100g,"creamy, dense",natural,blue,"salty, sharp","stinky, strong",,,,,
Blue Wensleydale,https://www.cheese.com/blue-wensleydale/,cow,England,North Yorkshire,Blue,"hard, blue-veined",29.90%,518.5 mg/100g,close,cloth wrapped,blue,"acidic, salty, savory, sharp, strong",rich,TRUE,FALSE,,,Wensleydale Creamery
Blue Yonder,https://www.cheese.com/blue-yonder/,cow,United States,NY,Blue,"semi-soft, blue-veined",28.40%,565.9 mg/100g,creamy,natural,white,subtle,rich,TRUE,FALSE,,,Lively Run Goat Dairy
Bluebell,https://www.cheese.com/bluebell/,cow,Scotland,,Blue,semi-soft,28.50%,530.4 mg/100g,soft,natural,blue-grey,sweet,mushroom,TRUE,FALSE,,,The Ethical Dairy
Bluebell Falls Cygnus,https://www.cheese.com/bluebell-falls-cygnus/,goat,Ireland,Co. Cork,Blue,"fresh soft, artisan",33.40%,573.9 mg/100g,"creamy, smooth",natural,white,"garlicky, herbaceous, sweet",,TRUE,FALSE,"Cygnus Goats Cheese, Cygnus Honey Garlic and Thyme Goats Cheese, Cygnus Pepper and Garlic Goats Cheese",,Bluebell Falls Goats Cheese
Bocconcini,https://www.cheese.com/bocconcini/,"cow, goat, water buffalo",Italy,,Blue,"semi-soft, brined",33.10%,562.4 mg/100g,creamy,rindless,white,"buttery, mild, sweet",,,,"bocconcino di bufala campana, bocconcini alla panna di bufala, Bocconcino Di Langa",,La Casa Del Formaggio
Bohemian Blue,https://www.cheese.com/bohemian-blue/,sheep,United States,Southwestern Wisconsin,Blue,"firm, artisan",33.90%,561.3 mg/100g,"creamy, crumbly, dry",rindless,white,"piquant, sour, sweet",sweet,FALSE,FALSE,,,Hidden Springs Company
Bonchester,https://www.cheese.com/bonchester/,cow,"Scotland, United Kingdom",Roxburghshire,Blue,"soft, artisan",30.10%,535.4 mg/100g,"close, smooth",natural,yellow,mild,grassy,FALSE,FALSE,,,
Bonifaz,https://www.cheese.com/bonifaz/,cow,Germany,,Blue,soft,29.20%,582.9 mg/100g,"creamy, soft",natural,cream,"creamy, garlicky, herbaceous, mild, milky, mushroomy, spicy",,FALSE,FALSE,,,Bergader Privatkäserei GmbH
Bonne Bouche,https://www.cheese.com/bonne-bouche/,goat,United States,Vermont,Blue,soft,33.20%,559.1 mg/100g,"creamy, fluffy, smooth",mold ripened,ivory,"citrusy, grassy",yeasty,TRUE,FALSE,,,Vermont Creamery
Bossa,https://www.cheese.com/bossa/,sheep,United States,Missouri,Blue,"semi-soft, artisan",29.30%,585.3 mg/100g,"creamy, firm, spreadable",washed,cream,"floral, meaty",stinky,TRUE,FALSE,,,Green Dirt Farm
Boulder Chevre,https://www.cheese.com/boulder-chevre/,goat,United States,,Blue,"semi-soft, artisan",29.50%,509.1 mg/100g,"creamy, crumbly, firm",,white,"citrusy, tangy","clean, fresh",TRUE,FALSE,,,Haystack Mountain Creamery
Boulette d'Avesnes,https://www.cheese.com/boulette-davesnes/,cow,France,Avesnes,Blue,fresh soft,28.60%,581.9 mg/100g,"creamy, smooth",washed,,spicy,stinky,TRUE,FALSE,,,
Boursin,https://www.cheese.com/boursin/,cow,France,Croisy-sur-Eure,Blue,"soft, processed",31.30%,592.3 mg/100g,"creamy, crumbly, spreadable",rindless,white,"buttery, full-flavored, herbaceous, smooth","fresh, strong",TRUE,FALSE,Gournay cheese,,Boursin Bel UK Ltd
Brebis d'Azure,https://www.cheese.com/brebis-dazure/,sheep,"Canada, Italy",Lombardy,Blue,"semi-hard, artisan, blue-veined",33.70%,506.4 mg/100g,soft,natural,pale yellow,sharp,aromatic,,,,,Fifth Town Artisan Cheese
Brebis du Puyfaucon,https://www.cheese.com/brebis-du-puyfaucon/,sheep,France,Haute Vienne,Blue,"soft, artisan",32.80%,533.4 mg/100g,smooth,natural,,sweet,grassy,FALSE,FALSE,,,
Bresse Bleu,https://www.cheese.com/bresse-bleu/,cow,France,,Blue,"soft, blue-veined",34.00%,529.5 mg/100g,creamy,,white,creamy,"milky, mushroom",FALSE,FALSE,Bleu de Bresse,,
Brewer's Gold,https://www.cheese.com/brewers-gold/,cow,Ireland,Stoneyford,Blue,"semi-soft, artisan",30.50%,527.4 mg/100g,creamy,washed,pale yellow,,,TRUE,FALSE,,,Knockdrinna Farmhouse Cheese
Brillo di Treviso,https://www.cheese.com/brillo-di-treviso/,cow,Italy,Veneto,Blue,soft,33.30%,509.7 mg/100g,compact,natural,ivory,"fruity, tangy","aromatic, subtle",FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Brin,https://www.cheese.com/brin/,cow,France,Rhone-Alps,Blue,"semi-soft, artisan",28.70%,566.9 mg/100g,"creamy, spreadable",washed,golden orange,"buttery, sweet","aromatic, nutty, yeasty",TRUE,FALSE,,,Fromagerie GUILLOTEAU
Brinza - Feta style,https://www.cheese.com/brinza---feta-style/,sheep,New Zealand,Queenstown,Blue,"soft, brined",30.70%,523.0 mg/100g,"creamy, crumbly, open",natural,white,"citrusy, salty, sweet, tangy",,FALSE,FALSE,Briza Feta,,The Gibbston Valley Cheese Company
Brixton Blue,https://www.cheese.com/vegan-brixton-blue-cheese/,plant-based,United Kingdom,,Blue,semi-firm,30.80%,525.9 mg/100g,"creamy, semi firm, soft-ripened",mold ripened,blue,"creamy, full-flavored, piquant, tangy, umami","earthy, fermented, pungent, strong",TRUE,TRUE,,,La Fauxmagerie
Brocciu,https://www.cheese.com/brocciu/,"goat, sheep",France,Corsica,Blue,"fresh soft, whey",30.10%,546.8 mg/100g,"creamy, crumbly, smooth",rindless,white,"milky, sweet",sweet,,,"Brocciu AOC, Brocciu AOP",,
Brunost,https://www.cheese.com/brunost/,"cow, goat","Denmark, Finland, Germany, Iceland, Norway, Sweden",,Blue,"semi-soft, whey",28.50%,529.7 mg/100g,dense,natural,brown,"caramel, sweet",,,,"mysost, mesost, meesjuusto, mysuostur, myseost, Braunkäse, geitost, Ekte Geitost, Gudbrandsdalsost",,
Brusselae Kaas (Fromage de Bruxelles),https://www.cheese.com/brusselae-kaas-fromage-de-bruxelles/,cow,Belgium,,Blue,"soft, artisan",31.70%,504.6 mg/100g,smooth,washed,pale yellow,"salty, sharp",strong,FALSE,FALSE,,,
Brutal Blue,https://www.cheese.com/brutal-blue/,cow,United States,Oregon,Blue,"semi-soft, artisan",30.80%,590.1 mg/100g,creamy,,cream,"creamy, spicy, strong, woody",strong,TRUE,FALSE,,,Rogue Creamery
Brânză de Burduf,https://www.cheese.com/branza-de-burduf/,sheep,Romania,Romanian Carpathians,Blue,"soft, artisan",29.20%,520.3 mg/100g,,natural,white,"salty, spicy",woody,FALSE,FALSE,"Brinza (Burduf Brinza), Brânză frământată",,
Buchette de Manon,https://www.cheese.com/buchette-de-manon/,goat,France,,Blue,soft,30.50%,569.8 mg/100g,creamy,natural,cream,mild,clean,FALSE,FALSE,,,
Bufalino,https://www.cheese.com/bufalino/,buffalo,Italy,,Blue,soft,31.50%,544.4 mg/100g,"creamy, soft",,white,"creamy, strong",buttery,,,,,Casa Madaio
Burwash Rose,https://www.cheese.com/burwash-rose/,cow,"England, Great Britain, United Kingdom","Stonegate, East Sussex",Blue,"semi-soft, artisan",28.90%,547.0 mg/100g,"creamy, springy",washed,cream,creamy,"aromatic, floral",TRUE,FALSE,,,Traditional Cheese Dairy
Buttermilk Blue,https://www.cheese.com/buttermilk-blue/,cow,United States,Wisconsin,Blue,"semi-hard, blue-veined",31.30%,548.1 mg/100g,"creamy, crumbly",natural,pale yellow,"piquant, tangy",fresh,,,,,Emmi Roth USA
Buttermilk Blue Affinee,https://www.cheese.com/buttermilk-blue-affinee/,cow,United States,Wisconsin,Blue,"semi-soft, blue-veined",28.40%,585.0 mg/100g,creamy,natural,ivory,"earthy, piquant, strong",rich,TRUE,FALSE,Blue Affinee Cheese,Buttermilk Bleu Affinee,Emmi Roth USA
Buttermilk Gorgonzola,https://www.cheese.com/buttermilk-gorgonzola/,cow,United States,Wisconsin,Blue,"semi-soft, blue-veined",28.80%,588.0 mg/100g,crumbly,natural,pale yellow,"piquant, spicy",rich,TRUE,FALSE,,,Emmi Roth USA
Caboc,https://www.cheese.com/caboc/,cow,Scotland,,Blue,soft,29.70%,523.6 mg/100g,"creamy, smooth",natural,white,"buttery, creamy","buttery, fresh",,,,,Highland Fine Cheeses Limited
Cabrales,https://www.cheese.com/cabrales/,cow,Spain,,Blue,"semi-hard, artisan, blue-veined",32.30%,545.0 mg/100g,"creamy, firm",,,"acidic, salty, sharp",strong,,,"Cabrales DOP, Cabrales PDO",Queso de Cabrales,
Cacio De Roma®,https://www.cheese.com/cacio-de-roma/,sheep,Italy,,Blue,"semi-soft, artisan",28.40%,597.1 mg/100g,semi firm,,ivory,mild,sweet,FALSE,FALSE,Rustico Red Pepper Pecorino,,
Cacio di Bosco al Tartufo,https://www.cheese.com/cacio-di-bosco-al-tartufo/,"cow, sheep",Italy,Tuscany,Blue,"semi-firm, artisan",30.50%,578.8 mg/100g,"crumbly, firm",,ivory,"nutty, sour, sweet",strong,,,,,Cooperativa Agricola IL FORTETO
Caciobirraio,https://www.cheese.com/caciobirraio/,cow,Italy,Veneto,Blue,soft,28.40%,557.6 mg/100g,compact,natural,straw,"bitter, subtle","aromatic, toasty",FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Cacioradicchio,https://www.cheese.com/cacioradicchio/,,Italy,Veneto,Blue,soft,30.40%,513.6 mg/100g,creamy,leaf wrapped,white,"bitter, herbaceous, subtle","aromatic, fresh",FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Calenzana (Calinzanincu),https://www.cheese.com/calenzana/,"goat, sheep",France,Upper Corsica,Blue,"semi-soft, artisan",29.50%,548.8 mg/100g,creamy,natural,pale yellow,strong,rich,FALSE,FALSE,Calinzanincu,,
cambazola,https://www.cheese.com/cambazola/,cow,Germany,,Blue,"soft, soft-ripened",31.80%,564.2 mg/100g,creamy,,,,,TRUE,FALSE,,,
Cambozola Grand Noir,https://www.cheese.com/cambozola-grand-noir/,cow,Germany,Allgäu,Blue,"semi-soft, blue-veined",31.90%,579.5 mg/100g,creamy,waxed,pale yellow,"sharp, sweet",aromatic,TRUE,FALSE,"Cambozola Black Label, Cambozola Classic, Cambozola Finesse, Cambozola Balance, Cambozola",,Käserei Champignon
Cambus o’May,https://www.cheese.com/cambus-omay/,cow,Scotland,Aberdeenshire,Blue,"semi-hard, artisan",33.90%,541.0 mg/100g,creamy,cloth wrapped,cream,sharp,strong,,,,,The Cambus O’May Cheese Company
Campi,https://www.cheese.com/campi/,water buffalo,Italy,Lombardy,Blue,"semi-hard, artisan",32.70%,544.5 mg/100g,"elastic, firm",natural,ivory,"spicy, sweet",strong,FALSE,FALSE,,,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Cancoillotte (Cancoyotte),https://www.cheese.com/cancoillotte-cancoyotte/,cow,France,,Blue,soft,31.50%,507.4 mg/100g,,,,,,FALSE,FALSE,Cancoyotte,,
Cap Cressy,https://www.cheese.com/cap-cressy/,goat,"Canada, Italy",Lombardy,Blue,"semi-hard, artisan, smear-ripened",33.20%,514.8 mg/100g,"compact, dense",washed,pale yellow,"mellow, savory, sweet",lactic,,,,,Fifth Town Artisan Cheese
Capra al Pepe,https://www.cheese.com/capra-al-pepe/,goat,Italy,"Treviso, Veneto",Blue,"soft, artisan",32.50%,518.0 mg/100g,"creamy, soft",natural,pale yellow,"mild, spicy",spicy,,,,,Moro Latteria di Moro Sergio
Capra Nouveau,https://www.cheese.com/capra-nouveau/,goat,England,"Chelmarsh, Bridgnorth, Shropshire",Blue,semi-soft,29.00%,572.8 mg/100g,"creamy, smooth",washed,ivory,"creamy, herbaceous, nutty, smooth, sweet","herbal, nutty, rich, sweet",,,Capra Baby,,Brock Hall Farm Dairy
Caprese di Bufala,https://www.cheese.com/caprese-di-bufala/,water buffalo,Italy,Veneto,Blue,soft,30.30%,585.2 mg/100g,"oily, smooth",natural,straw,"herbaceous, mild, subtle, vegetal","aromatic, fresh",FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Capri Blu,https://www.cheese.com/capri-blu/,goat,"Canada, Italy",Lombardy,Blue,"soft, blue-veined",30.70%,555.2 mg/100g,"creamy, soft",natural,pale yellow,"creamy, subtle, sweet",goaty,,,,,Fifth Town Artisan Cheese
Caprice,https://www.cheese.com/caprice/,goat,"Canada, Italy",Lombardy,Blue,soft,28.60%,523.7 mg/100g,"creamy, smooth",natural,white,subtle,goaty,,,,,Fifth Town Artisan Cheese
Capriny,https://www.cheese.com/capriny/,goat,Canada,Quebec,Blue,soft,29.50%,541.4 mg/100g,creamy,rindless,white,"creamy, mild, sharp, sour",goaty,,,,"Capriny with Fine Herbs, Capriny Pepper",La Maison Alexis de Portneuf Inc.
Caronzola,https://www.cheese.com/caronzola/,cow,Canada,Quebec,Blue,"soft, blue-veined",31.30%,551.3 mg/100g,creamy,bloomy,ivory,mild,,,,,,La Maison Alexis de Portneuf Inc.
Carr Valley Glacier Wildfire Blue,https://www.cheese.com/carr-valley-glacier-wildfire-blue/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",33.60%,501.1 mg/100g,"creamy, crumbly, soft",rindless,ivory,creamy,clean,,,,,Carr Valley Cheese Company
Cashel Blue,https://www.cheese.com/cashel-blue/,cow,Ireland,,Blue,"semi-soft, blue-veined",31.90%,586.8 mg/100g,creamy,natural,blue,tangy,sweet,TRUE,FALSE,,,J&L Grubb Ltd.
Castelmagno,https://www.cheese.com/castelmagno/,"cow, goat, sheep",Italy,Piedmont,Blue,semi-hard,33.40%,593.7 mg/100g,"crumbly, dense, grainy",washed,ivory,"sharp, spicy, strong",strong,FALSE,FALSE,,"Castelmagno PDO, Castelmagno di alpeggio, Castelmagno prodotto della montagna",
Casu marzu,https://www.cheese.com/casu-marzu/,sheep,"France, Italy","Sardinia (Italy), Southern Corsica (France)",Blue,"soft, soft-ripened",32.30%,531.6 mg/100g,soft-ripened,natural,,,,,,"casu modde, casu cundídu, casu fràzigu, formaggio marcio, Casu martzu, Casgiu merzu",,
Cathelain,https://www.cheese.com/cathelain/,cow,France,,Blue,soft,32.00%,534.0 mg/100g,smooth,,,sour,,FALSE,FALSE,,,
Catupiry,https://www.cheese.com/catupiry/,cow,Brazil,,Blue,"soft, processed",29.40%,539.5 mg/100g,"creamy, spreadable",,white,"creamy, mild, milky","fresh, milky",FALSE,FALSE,"Catupiry Original, Catupiry Light",,
Caveman Blue,https://www.cheese.com/caveman-blue/,cow,United States,Oregon,Blue,"semi-hard, blue-veined",32.50%,510.9 mg/100g,"creamy, dense",natural,pale yellow,"buttery, mushroomy",fresh,TRUE,FALSE,,,Rogue Creamery
Cayuga Blue,https://www.cheese.com/cayuga-blue/,goat,United States,NY,Blue,"semi-hard, blue-veined",33.20%,597.2 mg/100g,compact,bloomy,ivory,creamy,"mild, rich",TRUE,FALSE,,,Lively Run Goat Dairy
Champignon de Luxe Garlic,https://www.cheese.com/champignon-de-luxe-garlic/,cow,Germany,Allgäu,Blue,"soft, soft-ripened",30.10%,572.2 mg/100g,creamy,natural,cream,"garlicky, herbaceous","herbal, spicy",TRUE,FALSE,"Champignon de Luxe Knoblauch, Champignon Garlic",,Käserei Champignon
Champignon de Luxe Pepper,https://www.cheese.com/champignon-de-luxe-pepper/,cow,Germany,Allgäu,Blue,"soft, soft-ripened",29.00%,583.2 mg/100g,creamy,natural,cream,"creamy, sharp",spicy,TRUE,FALSE,"Champignon Pepper, Champignon de Luxe Pfeffer",,Käserei Champignon
Champignon Mushrooom,https://www.cheese.com/champignon-mushrooom/,cow,Germany,Allgäu,Blue,"soft, soft-ripened",31.90%,585.8 mg/100g,creamy,natural,cream,"creamy, mushroomy","fresh, mild",TRUE,FALSE,Champignon Mushroom Mini,,Käserei Champignon
Chaource,https://www.cheese.com/chaource/,cow,France,,Blue,"soft, soft-ripened",32.30%,563.0 mg/100g,"creamy, runny",,cream,creamy,,,,,,
Charolais,https://www.cheese.com/charolais/,goat,France,Bourgogne,Blue,semi-soft,29.70%,590.6 mg/100g,firm,,,"acidic, salty, sweet",subtle,FALSE,FALSE,Charoles,,
Chelsea Blue,https://www.cheese.com/chelsea-blue/,,Australia,"Mornington Peninsula, Melbourne",Blue,artisan,28.30%,588.9 mg/100g,crumbly,,,"nutty, salty, sweet","nutty, sweet",TRUE,FALSE,,,BoatShed Cheese
Cherni Vit,https://www.cheese.com/cherni-vit/,sheep,Bulgaria,Central Balkan Mountains,Blue,"soft, brined",32.30%,552.0 mg/100g,soft,mold ripened,green,"nutty, sharp",,,,,,
Chevre en Marinade,https://www.cheese.com/chevre-en-marinade/,goat,United States,Colorado,Blue,"semi-soft, artisan",32.30%,504.1 mg/100g,"creamy, crumbly, firm, oily",rindless,white,"garlicky, herbaceous, spicy","aromatic, pungent",TRUE,FALSE,,,Haystack Mountain Creamery
Chevrotin des Aravis,https://www.cheese.com/chevrotin-des-aravis/,goat,France,Haute-Savoie / Upper Savoy,Blue,"soft, artisan, brined",32.90%,593.7 mg/100g,"creamy, smooth",washed,pale yellow,"full-flavored, herbaceous, sweet","aromatic, floral, goaty",FALSE,FALSE,,,
Chile Jack,https://www.cheese.com/chile-jack/,goat,United States,Colorado,Blue,"semi-soft, artisan",32.30%,565.9 mg/100g,creamy,waxed,cream,"creamy, spicy, subtle, tangy",mild,TRUE,FALSE,,,Haystack Mountain Creamery
Chiriboga Blue,https://www.cheese.com/chiriboga-blue/,cow,Germany,Allgau,Blue,"semi-soft, artisan, blue-veined",32.00%,564.9 mg/100g,"creamy, dense, smooth, spreadable",mold ripened,cream,"buttery, grassy, mild, sweet",mild,FALSE,FALSE,,,
Chorlton Blue Cheshire,https://www.cheese.com/chorlton-blue-cheshire/,cow,"England, Great Britain, United Kingdom",Cheshire,Blue,"semi-soft, artisan, blue-veined",30.70%,509.3 mg/100g,"creamy, crumbly",natural,pale yellow,"citrusy, lemony, salty",strong,,,,,Chorlton Cheshire Cheese
Cilentano ai fichi,https://www.cheese.com/cilentano-ai-fichi/,"buffalo, cow, sheep",Italy,Calabria,Blue,"semi-soft, artisan",32.90%,521.9 mg/100g,creamy,natural,cream,"creamy, fruity","nutty, sweet",,,,,Casa Madaio
Classic Blue Log,https://www.cheese.com/classic-blue-log/,goat,United States,Massachusetts,Blue,"semi-soft, artisan",31.60%,596.0 mg/100g,"creamy, dense, soft",mold ripened,cream,"creamy, tangy","clean, fresh",TRUE,FALSE,,,Westfield Farm
Coeur de Chevre,https://www.cheese.com/coeur-de-chevre/,goat,France,Gâtinais,Blue,"soft, soft-ripened",32.80%,548.7 mg/100g,creamy,leaf wrapped,pale yellow,"salty, spicy","fresh, milky",FALSE,FALSE,,,
Cold Pack,https://www.cheese.com/cold-pack/,cow,United States,Wisconsin,Blue,"soft, blue-veined, processed",28.20%,511.9 mg/100g,"creamy, smooth, spreadable",rindless,,"full-flavored, sharp, smokey , spicy",strong,,,"club cheese, comminuted cheese, crock cheese",,Brunkow Cheese Factory
Colston Bassett Stilton,https://www.cheese.com/colston-bassett-stilton/,cow,"England, Great Britain, United Kingdom",East Midlands,Blue,"semi-hard, artisan",31.10%,589.5 mg/100g,"buttery, creamy",natural,cream,"buttery, fruity",,FALSE,FALSE,,,Colston Bassett Dairy Limited
Condio,https://www.cheese.com/condio/,cow,Italy,"Piave Valley, Italy",Blue,"semi-soft, artisan",33.80%,553.9 mg/100g,"creamy, smooth, soft",natural,ivory,"herbaceous, piquant, spicy","pungent, spicy",FALSE,FALSE,,,
Coquetdale,https://www.cheese.com/coquetdale/,cow,England,Coquet,Blue,"semi-hard, soft-ripened",31.50%,500.3 mg/100g,creamy,natural,pale yellow,fruity,rich,TRUE,FALSE,,,Northumberland Cheese Company
Cote Hill Blue,https://www.cheese.com/cote-hill-blue/,cow,"England, United Kingdom",Lincolnshire,Blue,"soft, artisan, blue-veined",32.00%,548.8 mg/100g,creamy,natural,cream,"buttery, salty, sharp, smokey , smooth","smokey, strong",TRUE,FALSE,,,Cote Hill Farm
Cote Hill Snowdrop,https://www.cheese.com/cote-hill-snowdrop/,cow,,,Blue,"soft, artisan, soft-ripened",32.70%,509.5 mg/100g,"creamy, smooth",,white,savory,,,,,,Cote Hill Farm
Cotswold,https://www.cheese.com/cotswold/,cow,"England, United Kingdom",Gloucestershire County,Blue,semi-firm,33.80%,585.4 mg/100g,"creamy, smooth",natural,,"sweet, tangy",,FALSE,FALSE,"Double Gloucester with Chives, Double Gloucester with Onion and Chives, English Cotswold",,
Counting Sheep…and Goats...,https://www.cheese.com/counting-sheepand-goats/,"cow, goat, sheep","Canada, Italy",Lombardy,Blue,"soft, soft-ripened",28.10%,523.0 mg/100g,"creamy, soft",,white,"creamy, subtle, sweet",nutty,,,,,Fifth Town Artisan Cheese
Crayeux de Roncq,https://www.cheese.com/crayeux-de-roncq/,cow,France,Roncq,Blue,"soft, artisan, soft-ripened",28.60%,517.1 mg/100g,"creamy, grainy",washed,orange,"full-flavored, strong, sweet",,FALSE,FALSE,Carré du Vinage,,
Creamy Gouda,https://www.cheese.com/creamy-gouda/,cow,Netherlands,,Blue,semi-soft,28.60%,514.5 mg/100g,creamy,natural,cream,creamy,aromatic,,,Extra Belegen Gouda,,dutchcheeseman uk
Crema de Blue,https://www.cheese.com/crema-de-blue/,"cow, sheep",United States,New Jersey,Blue,"semi-soft, artisan, blue-veined",31.30%,555.7 mg/100g,creamy,natural,cream,"full-flavored, spicy",,FALSE,FALSE,,,Valley Shepherd Creamery
Cremont,https://www.cheese.com/cremont/,"cow, goat",United States,Vermont,Blue,"soft, artisan",30.20%,550.5 mg/100g,"creamy, smooth",mold ripened,cream,"creamy, nutty, smooth, yeasty","nutty, yeasty",,,,,Vermont Creamery
CreNoble,https://www.cheese.com/crenoble/,,Germany,Landshut,Blue,semi-soft,33.20%,566.5 mg/100g,"creamy, open, smooth",,pale yellow,"creamy, savory",aromatic,,,,,Bayerische Milchindustrie eG
Crescenza di Bufala,https://www.cheese.com/crescenza-di-bufala/,water buffalo,Italy,Lombardy,Blue,"fresh soft, artisan",28.70%,526.6 mg/100g,"buttery, creamy, spreadable",rindless,white,"buttery, creamy, mild, sweet","fresh, pleasant, rich, sweet",TRUE,FALSE,,,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Cressy Blu,https://www.cheese.com/cressy-blu/,cow,"Canada, Italy",Lombardy,Blue,"semi-hard, blue-veined",32.20%,544.2 mg/100g,"creamy, crumbly, firm",natural,pale yellow,"creamy, savory, sweet",,,,,,Fifth Town Artisan Cheese
Croghan,https://www.cheese.com/croghan/,goat,Ireland,County Wexford,Blue,"semi-soft, artisan",32.60%,569.4 mg/100g,supple,washed,white,full-flavored,"earthy, grassy",TRUE,FALSE,,,Croghan Goat Farm
Crozier,https://www.cheese.com/crozier/,sheep,Ireland,"Fethard, Co Tipperary",Blue,"semi-soft, artisan, blue-veined",28.80%,517.4 mg/100g,"buttery, chalky, creamy, crumbly",natural,pale yellow,"acidic, creamy, mild","rich, strong",TRUE,FALSE,,Croizer Blue,J&L Grubb Ltd.
CréMonté,https://www.cheese.com/cremonte/,cow,Germany,Landshut,Blue,"soft, blue-veined",32.80%,548.1 mg/100g,"creamy, smooth",mold ripened,ivory,"creamy, mild",pleasant,,,,,Bayerische Milchindustrie eG
Cuajada,https://www.cheese.com/cuajada/,"cow, sheep",Spain,,Blue,soft,28.30%,533.5 mg/100g,"creamy, smooth",,,,,FALSE,FALSE,,,
Cubetto,https://www.cheese.com/cubetto/,"buffalo, cow",Italy,Campania,Blue,"semi-soft, artisan",33.20%,568.6 mg/100g,"compact, smooth",,ivory,"smooth, sweet","fresh, fruity",,,Cubetti,,Casa Madaio
Cup Cheese,https://www.cheese.com/cup-cheese/,cow,United States,Pennsylvania,Blue,"soft, artisan",28.70%,502.1 mg/100g,"creamy, spreadable",,,"sharp, sour, strong",strong,,,,,
Curworthy,https://www.cheese.com/curworthy/,cow,England,Devon,Blue,semi-hard,28.30%,582.0 mg/100g,creamy,natural,cream,buttery,fresh,TRUE,FALSE,,,Rachel Stephens
L'Aveyronnais,https://www.cheese.com/laveyronnais/,cow,France,massif des Causses,Blue,soft,33.80%,511.6 mg/100g,,leaf wrapped,white,,grassy,FALSE,FALSE,,,
L'Empereur,https://www.cheese.com/lempereur/,,Canada,Quebec,Blue,"soft, artisan",33.00%,558.6 mg/100g,"creamy, supple",washed,cream,"buttery, salty","fruity, milky, nutty",,,"Empereur allégé, L’Empereur Léger",,Fromagerie Fritz Kaiser
La Peral,https://www.cheese.com/la-peral/,cow,Spain,,Blue,"semi-soft, blue-veined",31.90%,524.7 mg/100g,"creamy, firm, grainy",,pale yellow,"spicy, sweet","buttery, rich",FALSE,FALSE,La Peral Blue,,
