cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Bufala Soldier,"cow, goat, water buffalo",United States,Brie,"soft, artisan, soft-ripened",High,"buttery, creamy",bloomy,pale yellow,"acidic, buttery, creamy, earthy, sweet",rich,TRUE,FALSE
MouCo Truffello,cow,United States,Brie,"soft, artisan, soft-ripened",High,"creamy, soft",washed,white,"buttery, creamy, earthy","earthy, fruity",FALSE,FALSE
Cuor di burrata,cow,Italy,Brie,soft,High,"creamy, smooth",natural,white,"buttery, milky, sweet","fresh, herbal, nutty",FALSE,FALSE
La Tur,"cow, goat, sheep",Italy,Brie,"soft, artisan, soft-ripened",High,"creamy, fluffy, soft-ripened",mold ripened,straw,"acidic, buttery, creamy, grassy, mushroomy","earthy, lactic, yeasty",FALSE,FALSE
Marin French Triple Crème,cow,United States,Brie,soft,High,"fluffy, smooth",bloomy,pale yellow,sweet,"rich, sweet",FALSE,FALSE
Amalthée,goat,France,Brie,"soft, soft-ripened",High,"buttery, creamy",bloomy,cream,"grassy, mild, sweet","goaty, grassy, mild, sweet",FALSE,FALSE
Brefu Bach,sheep,Wales,Brie,soft,High,soft,washed,golden yellow,tangy,"buttery, spicy",TRUE,FALSE
Cream Cheesy Bliss,cow,"Canada, United States",Brie,soft,High,"creamy, spreadable",artificial,white,"creamy, garlicky, herbaceous, sweet",rich,TRUE,FALSE
Sonnet,"goat, sheep",United States,Brie,"soft, artisan",High,"smooth, spreadable",bloomy,golden yellow,"lemony, smooth",rich,FALSE,FALSE
Buche de Chevre,goat,France,Brie,"soft, soft-ripened",High,creamy,washed,white,sweet,fresh,TRUE,FALSE
Lincoln Log,goat,United States,Brie,"semi-soft, soft-ripened",High,"creamy, dense",mold ripened,white,"citrusy, lemony, mild, mushroomy, tangy","goaty, milky",FALSE,FALSE
Mycella,cow,Denmark,Brie,"soft, artisan, blue-veined",High,crystalline,rindless,pale yellow,mild,"fresh, mild",FALSE,FALSE
Accasciato,"buffalo, cow",Italy,Brie,semi-hard,High,firm,natural,pale yellow,sweet,"aromatic, fresh",FALSE,FALSE
Pack Square,cow,United States,Brie,"semi-soft, artisan, soft-ripened",High,"buttery, creamy, soft, soft-ripened",bloomy,white,"buttery, creamy, earthy, spicy","grassy, rich",FALSE,FALSE
Buxton Blue,cow,"England, United Kingdom",Brie,"soft, artisan, blue-veined",High,crumbly,natural,yellow,tangy,"buttery, fresh",TRUE,FALSE
Little Dragon,goat,United States,Brie,soft,High,creamy,natural,white,"citrusy, creamy, mellow, sweet","fresh, herbal",FALSE,FALSE
Aged Chelsea,goat,United States,Brie,soft,High,"creamy, spreadable",mold ripened,ivory,"acidic, buttery, sweet",goaty,FALSE,FALSE
Buxton Blue,cow,"England, United Kingdom",Brie,"soft, artisan, blue-veined",High,crumbly,natural,yellow,tangy,goaty,TRUE,FALSE
Plancherin d'Arêches,goat,France,Brie,soft,High,"creamy, smooth, soft",natural,white,"creamy, floral, herbaceous, mild, nutty, woody","floral, fresh, herbal, perfumed, woody",FALSE,FALSE
Brie de Portneuf Double Cream,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, supple",bloomy,cream,creamy,nutty,FALSE,FALSE
Shepherd's Crook,sheep,England,Brie,"soft, artisan",High,"creamy, smooth, springy",mold ripened,white,"mild, sweet","rich, sweet",TRUE,FALSE
Barilotto,buffalo,Italy,Brie,"hard, soft-ripened",High,firm,washed,pale yellow,"creamy, sharp","buttery, fresh",FALSE,FALSE
Largo,cow,United States,Brie,"soft, artisan",High,"creamy, smooth",bloomy,pale yellow,"mushroomy, nutty, sweet","pleasant, sweet",TRUE,FALSE
Brise du Matin,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, runny, soft, soft-ripened",bloomy,cream,"buttery, mushroomy, nutty, pronounced",fresh,TRUE,FALSE
Bath Soft Cheese,cow,England,Brie,soft,High,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, grassy",TRUE,FALSE
Brie d'Alexis,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, supple",bloomy,cream,"creamy, nutty",nutty,FALSE,FALSE
Cremet,"cow, goat","England, Great Britain, United Kingdom",Brie,"soft, artisan, soft-ripened",High,"creamy, smooth, soft, soft-ripened",bloomy,white,"creamy, lemony","fresh, rich",TRUE,FALSE
Marin French Triple Crème,cow,United States,Brie,soft,High,"fluffy, smooth",bloomy,yellow,sweet,"rich, sweet",FALSE,FALSE
Bufala Soldier,"cow, goat, water buffalo",United States,Brie,"soft, artisan, soft-ripened",High,"buttery, creamy",bloomy,pale yellow,"acidic, buttery, creamy, earthy, sweet",rich,TRUE,FALSE
Bix,cow,United Kingdom,Brie,"soft, semi-soft",High,"buttery, creamy, soft, soft-ripened",rindless,pale yellow,"herbaceous, spicy","floral, goaty, herbal",FALSE,FALSE
Saga,cow,Denmark,Brie,"soft, blue-veined, soft-ripened",High,creamy,bloomy,white,"creamy, mild",mild,FALSE,FALSE
Mirabo Brie with Walnut,cow,Germany,Brie,"semi-soft, soft-ripened",High,"creamy, smooth, soft",natural,ivory,"nutty, savory",nutty,TRUE,FALSE
Brie de Meaux,cow,France,Brie,"soft, artisan, soft-ripened",High,"creamy, smooth",bloomy,straw,milky,"buttery, sweet",FALSE,FALSE
Seastack,cow,United States,Brie,"soft, soft-ripened",High,"creamy, firm, runny, soft",ash coated,white,"citrusy, earthy, garlicky, tangy","fresh, milky",FALSE,FALSE
Bath Soft Cheese,cow,England,Brie,soft,High,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, grassy",TRUE,FALSE
Brillat-Savarin,cow,France,Brie,"soft, artisan",High,"creamy, dense",mold ripened,white,"buttery, nutty, sour",milky,FALSE,FALSE
Castle Blue,cow,Canada,Brie,"semi-soft, blue-veined, soft-ripened",High,"buttery, creamy",natural,cream,"creamy, piquant, sweet","earthy, rich",FALSE,FALSE
La Rumeur,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, runny, supple",bloomy,cream,"creamy, mild","mild, milky",TRUE,FALSE
Château de Versailles,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, runny, soft, soft-ripened",bloomy,ivory,"buttery, creamy",pungent,FALSE,FALSE
Amsterdammer (British Columbia),cow,Canada,Brie,"semi-soft, firm",High,"buttery, creamy",natural,pale yellow,"buttery, creamy","aromatic, buttery",FALSE,FALSE
La Pyramide,goat,Canada,Brie,"semi-soft, artisan",High,dense,ash coated,ivory,"salty, tangy",mild,FALSE,FALSE
Moses Sleeper,cow,United States,Brie,"semi-soft, artisan",High,"soft, soft-ripened",bloomy,white,"buttery, creamy, nutty","milky, mushroom",TRUE,FALSE
Palet de Babligny,cow,France,Brie,soft,High,creamy,washed,ivory,"fruity, mild","herbal, mushroom, stinky",FALSE,FALSE
Casatica,water buffalo,Italy,Brie,"semi-soft, artisan, soft-ripened",High,"creamy, soft-ripened",bloomy,white,"creamy, subtle","aromatic, milky, pleasant, rich",FALSE,FALSE
Peekskill Pyramid,cow,United States,Brie,"soft, artisan",High,creamy,rindless,pale yellow,"buttery, sour, sweet",rich,FALSE,FALSE
Cream Cheesy Bliss,sheep,"Canada, United States",Brie,soft,High,"creamy, spreadable",artificial,white,"creamy, garlicky, herbaceous, sweet",rich,TRUE,FALSE
Palet de Babligny,cow,France,Brie,soft,High,creamy,washed,white,"herbaceous, salty, sharp","fresh, herbal, spicy, strong",FALSE,FALSE
Snow Camp,"cow, goat",United States,Brie,semi-firm,High,soft,bloomy,ivory,"buttery, creamy",buttery,TRUE,FALSE
Snow Camp,"cow, goat",United States,Brie,semi-firm,High,soft,bloomy,ivory,"buttery, creamy",buttery,TRUE,FALSE
Brebirousse d'Argental,sheep,France,Brie,soft,High,"creamy, smooth",washed,orange,"creamy, sweet","grassy, milky",TRUE,FALSE
Minuet,"cow, goat",United States,Brie,"soft, soft-ripened",High,"creamy, smooth",mold ripened,white,"sweet, tangy",pleasant,TRUE,FALSE
Aisy Cendre,cow,France,Brie,"semi-soft, smear-ripened",High,"creamy, smooth",washed,white,"full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",FALSE,FALSE
Brie de Meaux,cow,France,Brie,"soft, artisan, soft-ripened",High,"creamy, smooth",bloomy,straw,milky,"buttery, sweet",TRUE,FALSE
Blue Earth,cow,United States,Brie,"soft, artisan, soft-ripened",High,"creamy, runny, smooth, soft",bloomy,pale yellow,"buttery, grassy, smooth",nutty,TRUE,FALSE
Paillot de Chèvre,goat,Canada,Brie,"soft, soft-ripened",High,"firm, runny, smooth, soft-ripened",bloomy,white,"acidic, nutty, tangy","goaty, lactic",TRUE,FALSE
Cirrus,cow,United States,Brie,"soft, soft-ripened",High,"creamy, soft",bloomy,ivory,"acidic, buttery, milky, nutty, salty","earthy, mushroom, rich",FALSE,FALSE
Baby Brie,cow,France,Brie,soft,High,creamy,bloomy,cream,"creamy, mild",aromatic,FALSE,FALSE
Shepherd's Crook,sheep,England,Brie,"soft, artisan",High,"creamy, smooth, springy",mold ripened,white,"mild, sweet","rich, sweet",TRUE,FALSE
Brebirousse d'Argental,sheep,France,Brie,soft,High,"creamy, smooth",washed,orange,"creamy, sweet","grassy, milky",TRUE,FALSE
Brise du Matin,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, runny, soft, soft-ripened",bloomy,cream,"buttery, mushroomy, nutty, pronounced",fresh,FALSE,FALSE
Provel,cow,United States,Brie,"soft, processed",High,"buttery, gooey",plastic,white,buttery,smokey,FALSE,FALSE
Caravane,camel,Mauritania,Brie,"soft, artisan",High,creamy,bloomy,white,"salty, sweet","aromatic, fresh",TRUE,FALSE
Brie,cow,France,Brie,"soft, artisan",High,"buttery, soft-ripened",bloomy,cream,mild,"buttery, mild",FALSE,FALSE
Le Double Joie,"cow, goat",Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, runny",bloomy,cream,"buttery, creamy",mushroom,FALSE,FALSE
Lincoln Log,goat,United States,Brie,"semi-soft, soft-ripened",High,"creamy, dense",mold ripened,white,"citrusy, lemony, mild, mushroomy, tangy","goaty, milky",FALSE,FALSE
Brefu Bach,sheep,Wales,Brie,soft,High,soft,washed,golden yellow,"spicy, sweet","aromatic, fresh, herbal",FALSE,FALSE
Le Reflet de Portneuf,cow,Canada,Brie,soft,High,"buttery, creamy",washed,cream,"buttery, creamy, mushroomy","fresh, milky, rich, sweet",FALSE,FALSE
Mt Tam,cow,United States,Brie,soft,High,"creamy, firm",bloomy,pale yellow,"buttery, earthy","grassy, mushroom, rich",TRUE,FALSE
Abbaye de Tamié,cow,France,Brie,"soft, artisan",High,"creamy, open, smooth",washed,white,"fruity, nutty","perfumed, pungent",FALSE,FALSE
Aisy Cendre,cow,France,Brie,"semi-soft, smear-ripened",High,"creamy, smooth",washed,white,"full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",FALSE,FALSE
Pianoforte,cow,United States,Brie,"soft, soft-ripened",High,"creamy, soft",natural,pale yellow,"acidic, mushroomy, nutty",pleasant,TRUE,FALSE
Leonora®,goat,Spain,Brie,"semi-soft, artisan",High,soft-ripened,bloomy,white,"lemony, mushroomy",lactic,FALSE,FALSE
Blue Benedictine,goat,Canada,Brie,"semi-soft, blue-veined, soft-ripened",High,"buttery, creamy, crumbly, smooth",natural,brownish yellow,"buttery, creamy, earthy, grassy, herbaceous, mushroomy, salty, smooth, sweet","buttery, earthy, grassy, herbal, mushroom, sweet",TRUE,FALSE
Paniolo,cow,United States,Brie,"soft, artisan",High,"buttery, creamy, runny",washed,pale yellow,"buttery, creamy, meaty",mushroom,FALSE,FALSE
Bath Soft Cheese,cow,England,Brie,soft,High,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, grassy",TRUE,FALSE
La Sauvagine,cow,Canada,Brie,soft,High,"buttery, creamy, runny, supple",washed,ivory,"buttery, creamy",mushroom,TRUE,FALSE
Brie de Melun,cow,France,Brie,"semi-soft, soft-ripened",High,firm,bloomy,yellow,"salty, sharp, sour, strong","grassy, musty",TRUE,FALSE
Mirabo Brie with Walnut,cow,Germany,Brie,"semi-soft, soft-ripened",High,"creamy, smooth, soft",natural,ivory,"nutty, savory",nutty,FALSE,FALSE
Casatica,water buffalo,Italy,Brie,"semi-soft, artisan, soft-ripened",High,"creamy, soft-ripened",bloomy,white,"creamy, subtle","aromatic, milky, pleasant, rich",FALSE,FALSE
Le Brebiou,sheep,France,Brie,"semi-soft, artisan, soft-ripened",High,"creamy, firm, smooth",bloomy,white,"mild, milky, sweet",musty,FALSE,FALSE
Buchette d'Anjou,goat,France,Brie,soft,High,"firm, grainy",artificial,ivory,"acidic, citrusy",aromatic,FALSE,FALSE
Le Brebiou,sheep,France,Brie,"semi-soft, artisan, soft-ripened",High,"creamy, firm, smooth",bloomy,white,"mild, milky, sweet",musty,FALSE,FALSE
Mycella,cow,Denmark,Brie,"soft, artisan, blue-veined",High,crystalline,rindless,pale yellow,mild,floral,FALSE,FALSE
Provel,cow,United States,Brie,"soft, processed",High,"buttery, gooey",plastic,white,buttery,smokey,FALSE,FALSE
Picolo,cow,United States,Brie,"soft, artisan",High,soft-ripened,bloomy,pale yellow,"mushroomy, nutty, sweet",sweet,FALSE,FALSE
Bosworth,goat,United Kingdom,Brie,"soft, artisan",High,crumbly,mold ripened,white,"mild, salty, sweet",goaty,TRUE,FALSE
Brick Lane Bree,plant-based,United Kingdom,Brie,soft,High,"buttery, creamy, gooey, soft",mold ripened,cream,"buttery, mild, mushroomy","buttery, mild, mushroom",TRUE,TRUE
Banon,goat,France,Brie,"soft, artisan",High,"creamy, smooth",leaf wrapped,white,"fruity, mild",earthy,TRUE,FALSE
Sharpham,cow,"England, United Kingdom",Brie,"soft, artisan",High,"creamy, smooth",mold ripened,white,buttery,fresh,TRUE,FALSE
Château de Versailles,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, runny, soft, soft-ripened",bloomy,ivory,"buttery, creamy",pungent,TRUE,FALSE
La Bonaparte,cow,Canada,Brie,"soft, soft-ripened",High,"creamy, soft, soft-ripened, supple",bloomy,cream,"creamy, mild, milky","fresh, mild",FALSE,FALSE
Blue Earth,cow,United States,Brie,"soft, artisan, soft-ripened",High,"creamy, runny, smooth, soft",bloomy,pale yellow,"buttery, grassy, smooth",grassy,TRUE,FALSE
Caws Penhelyg Abaty,cow,Wales,Brie,soft,High,gooey,rindless,white,"caramel, nutty",aromatic,FALSE,FALSE
Brillat-Savarin,cow,France,Brie,"soft, artisan",High,"creamy, dense",mold ripened,white,"buttery, nutty, sour",milky,FALSE,FALSE
Caravane,camel,Mauritania,Brie,"soft, artisan",High,creamy,bloomy,white,"salty, sweet",aromatic,TRUE,FALSE
Pack Square,cow,United States,Brie,"semi-soft, artisan, soft-ripened",High,"buttery, creamy, soft, soft-ripened",bloomy,white,"buttery, creamy, earthy, spicy","grassy, rich",FALSE,FALSE
Blue Earth,cow,United States,Brie,"soft, artisan, soft-ripened",High,"creamy, runny, smooth, soft",bloomy,pale yellow,"buttery, grassy, smooth",fresh,TRUE,FALSE
Blue Earth,cow,United States,Brie,"soft, artisan, soft-ripened",High,"creamy, runny, smooth, soft",bloomy,pale yellow,"buttery, grassy, smooth",pleasant,TRUE,FALSE
Macconais,"cow, goat",France,Brie,"soft, artisan, soft-ripened",High,"creamy, firm, smooth",bloomy,cream,"salty, tangy",herbal,FALSE,FALSE
Brie de Portneuf Double Cream,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, supple",bloomy,cream,creamy,nutty,TRUE,FALSE
Cuor di burrata,water buffalo,Italy,Brie,soft,High,"creamy, smooth",natural,white,"buttery, milky, sweet","fresh, herbal, nutty",FALSE,FALSE
Bougon,goat,France,Brie,"soft, artisan",High,firm,bloomy,white,acidic,fresh,FALSE,FALSE
ColoRouge,cow,United States,Brie,"soft, artisan, smear-ripened",High,"creamy, soft",washed,white,"acidic, buttery, creamy, earthy","buttery, earthy, mild, spicy",TRUE,FALSE
Morcella,sheep,United States,Brie,"semi-soft, soft-ripened",High,creamy,bloomy,ivory,"creamy, earthy",strong,TRUE,FALSE
La Tur,"cow, goat, sheep",Italy,Brie,"soft, artisan, soft-ripened",High,"creamy, fluffy, soft-ripened",mold ripened,straw,"acidic, buttery, creamy, grassy, mushroomy","earthy, lactic, yeasty",FALSE,FALSE
Moses Sleeper,cow,United States,Brie,"semi-soft, artisan",High,"soft, soft-ripened",bloomy,white,"buttery, creamy, nutty","milky, mushroom",FALSE,FALSE
Milleens,cow,Ireland,Brie,"soft, artisan",High,"creamy, smooth",washed,pale yellow,"floral, herbaceous, sweet",aromatic,FALSE,FALSE
Blue Benedictine,cow,Canada,Brie,"semi-soft, blue-veined, soft-ripened",High,"buttery, creamy, crumbly, smooth",natural,brownish yellow,"buttery, creamy, earthy, grassy, herbaceous, mushroomy, salty, smooth, sweet","buttery, earthy, grassy, herbal, mushroom, sweet",TRUE,FALSE
Milleens,cow,Ireland,Brie,"soft, artisan",High,"creamy, smooth",washed,pale yellow,"floral, herbaceous, sweet",aromatic,FALSE,FALSE
Meredith Ashed Pyramids,goat,Australia,Brie,"fresh soft, artisan",High,"creamy, soft",ash coated,white,"creamy, smooth",fresh,TRUE,FALSE
Affidelice au Chablis,cow,France,Brie,soft,High,"creamy, smooth",washed,orange,"fruity, mild, tangy","perfumed, strong",FALSE,FALSE
Leonora®,goat,Spain,Brie,"semi-soft, artisan",High,soft-ripened,bloomy,white,"lemony, mushroomy",lactic,FALSE,FALSE
Saint André,cow,France,Brie,"soft, soft-ripened",High,"creamy, dense",bloomy,ivory,"buttery, tangy",rich,TRUE,FALSE
Paniolo,cow,United States,Brie,"soft, artisan",High,"buttery, creamy, runny",washed,pale yellow,"buttery, creamy, meaty",mushroom,TRUE,FALSE
Caravane,camel,Mauritania,Brie,"soft, artisan",High,creamy,bloomy,white,"salty, sweet","clean, floral, fresh",TRUE,FALSE
St Killian,cow,Ireland,Brie,"semi-soft, artisan",High,creamy,bloomy,pale yellow,"mushroomy, salty","aromatic, mushroom",TRUE,FALSE
Bucheret,goat,United States,Brie,"soft, artisan, soft-ripened",High,"buttery, chalky, dense, smooth, soft-ripened",bloomy,white,"buttery, mushroomy, nutty, tangy",rich,TRUE,FALSE
Pérail de Brebis,sheep,France,Brie,"soft, artisan",High,"creamy, smooth",natural,pale yellow,"full-flavored, strong",goaty,FALSE,FALSE
Capraricca,goat,Italy,Brie,"soft, artisan, soft-ripened",High,"creamy, runny, supple",bloomy,white,sweet,"fresh, goaty",FALSE,FALSE
Metronome,"cow, goat",United States,Brie,"semi-soft, soft-ripened",High,"creamy, firm",natural,pale yellow,"buttery, tart","goaty, grassy, rich",TRUE,FALSE
Sharpham,cow,"England, United Kingdom",Brie,"soft, artisan",High,"creamy, smooth",mold ripened,white,buttery,fresh,TRUE,FALSE
Le Brebiou,sheep,France,Brie,"semi-soft, artisan, soft-ripened",High,"creamy, firm, smooth",bloomy,white,"mild, milky, sweet",musty,FALSE,FALSE
Melange,"cow, goat",United States,Brie,"soft, soft-ripened",High,"firm, soft-ripened",bloomy,cream,"piquant, spicy, sweet, tart",goaty,FALSE,FALSE
Caravane,camel,Mauritania,Brie,"soft, artisan",High,creamy,bloomy,white,"salty, sweet","floral, goaty, herbal",TRUE,FALSE
Buchette d'Anjou,goat,France,Brie,soft,High,"firm, grainy",artificial,ivory,"acidic, citrusy",aromatic,FALSE,FALSE
Baby Brie,cow,France,Brie,soft,High,creamy,bloomy,cream,"creamy, mild",aromatic,FALSE,FALSE
Brie Coco,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, smooth, soft-ripened",bloomy,pale yellow,"acidic, buttery, creamy, salty","mushroom, nutty",FALSE,FALSE
MouCo Truffello,cow,United States,Brie,"soft, artisan, soft-ripened",High,"creamy, soft",washed,white,"buttery, creamy, earthy","earthy, fruity",TRUE,FALSE
Mt Tam,cow,United States,Brie,soft,High,"creamy, firm",bloomy,pale yellow,"buttery, earthy","grassy, mushroom, rich",TRUE,FALSE
Melange,"cow, goat",United States,Brie,"soft, soft-ripened",High,"firm, soft-ripened",bloomy,cream,"piquant, spicy, sweet, tart",goaty,TRUE,FALSE
Le Reflet de Portneuf,cow,Canada,Brie,soft,High,"buttery, creamy",washed,cream,"buttery, creamy, mushroomy",aromatic,FALSE,FALSE
Melange,"cow, goat",United States,Brie,"soft, soft-ripened",High,"firm, soft-ripened",bloomy,cream,"piquant, spicy, sweet, tart",goaty,TRUE,FALSE
Cream Cheesy Bliss,cow,"Canada, United States",Brie,soft,High,"creamy, spreadable",artificial,white,"creamy, garlicky, herbaceous, sweet",rich,TRUE,FALSE
Melange,"cow, goat",United States,Brie,"soft, soft-ripened",High,"firm, soft-ripened",bloomy,cream,"piquant, spicy, sweet, tart",goaty,TRUE,FALSE
Accasciato,"buffalo, cow",Italy,Brie,semi-hard,High,firm,natural,pale yellow,sweet,"aromatic, fresh",FALSE,FALSE
MouCo Truffello,cow,United States,Brie,"soft, artisan, soft-ripened",High,"creamy, soft",washed,white,"buttery, creamy, earthy","earthy, fruity",TRUE,FALSE
Buxton Blue,cow,"England, United Kingdom",Brie,"soft, artisan, blue-veined",High,crumbly,natural,yellow,tangy,"herbal, mild",TRUE,FALSE
La Fleurie,cow,United States,Brie,"soft, artisan, soft-ripened",High,"buttery, runny, smooth",mold ripened,ivory,"buttery, earthy, mushroomy, nutty","earthy, mild",TRUE,FALSE
Moses Sleeper,cow,United States,Brie,"semi-soft, artisan",High,"soft, soft-ripened",bloomy,white,"buttery, creamy, nutty","milky, mushroom",FALSE,FALSE
Pont l'Eveque,cow,France,Brie,soft,High,creamy,washed,pale yellow,"creamy, full-flavored","rich, strong",TRUE,FALSE
Moonlight Chaource,cow,United States,Brie,"soft, soft-ripened",High,"dense, firm",ash coated,white,"savory, tart","rich, sweet",TRUE,FALSE
MouCo Truffello,cow,United States,Brie,"soft, artisan, soft-ripened",High,"creamy, soft",washed,white,"buttery, creamy, earthy","earthy, fruity",FALSE,FALSE
Bufala Soldier,"cow, goat, water buffalo",United States,Brie,"soft, artisan, soft-ripened",High,"buttery, creamy",bloomy,pale yellow,"acidic, buttery, creamy, earthy, sweet",rich,TRUE,FALSE
Sharpham,cow,"England, United Kingdom",Brie,"soft, artisan",High,"creamy, smooth",mold ripened,white,buttery,fresh,TRUE,FALSE
Sharpham,cow,"England, United Kingdom",Brie,"soft, artisan",High,"creamy, smooth",mold ripened,white,buttery,fresh,TRUE,FALSE
Chaumes,cow,France,Brie,"soft, semi-soft, soft-ripened",High,"creamy, smooth, springy, supple",washed,pale yellow,"full-flavored, nutty","aromatic, strong",FALSE,FALSE
Minuet,"cow, goat",United States,Brie,"soft, soft-ripened",High,"creamy, smooth",mold ripened,white,"sweet, tangy",pleasant,TRUE,FALSE
Piper's Pyramide,goat,United States,Brie,"soft, artisan, soft-ripened",High,"creamy, dense, fluffy, soft-ripened",bloomy,white,"buttery, milky, sweet","lactic, musty",FALSE,FALSE
Brie au poivre (Brie with pepper),cow,France,Brie,"soft, soft-ripened",High,creamy,bloomy,golden orange,"creamy, spicy",spicy,FALSE,FALSE
Bix,cow,United Kingdom,Brie,"soft, semi-soft",High,"buttery, creamy, soft, soft-ripened",rindless,pale yellow,"lemony, sweet","grassy, nutty",FALSE,FALSE
Chavroux,goat,France,Brie,soft,High,"creamy, spreadable",plastic,white,"creamy, mild","fresh, goaty",FALSE,FALSE
Meredith Ashed Pyramids,goat,Australia,Brie,"fresh soft, artisan",High,"creamy, soft",ash coated,white,"creamy, smooth",fresh,TRUE,FALSE
Le Conquerant Demi Pont L'eveque,cow,"Australia, France",Brie,"soft, artisan",High,"chalky, creamy, soft",washed,white,"creamy, mild",pungent,TRUE,FALSE
Peekskill Pyramid,cow,United States,Brie,"soft, artisan",High,creamy,rindless,pale yellow,"buttery, sour, sweet",rich,FALSE,FALSE
Pierce Pt,cow,United States,Brie,"soft, artisan",High,soft,bloomy,pale yellow,"savory, tangy","floral, herbal",TRUE,FALSE
Le Cendrillon,goat,Canada,Brie,soft,High,"creamy, smooth",ash coated,ivory,"acidic, pronounced, sour",goaty,TRUE,FALSE
Mirabo Brie with Walnut,cow,Germany,Brie,"semi-soft, soft-ripened",High,"creamy, smooth, soft",natural,ivory,"nutty, savory",nutty,FALSE,FALSE
Chimney Rock,cow,United States,Brie,soft,High,soft,bloomy,pale yellow,"earthy, piquant, savory","fruity, rich",TRUE,FALSE
Lacey Grey,goat,Canada,Brie,"soft, artisan, soft-ripened",High,"creamy, soft",bloomy,white,"acidic, bitter, nutty","clean, herbal",TRUE,FALSE
Affidelice au Chablis,cow,France,Brie,soft,High,"creamy, smooth",washed,orange,"fruity, mild, tangy","perfumed, strong",FALSE,FALSE
President Brie,cow,France,Brie,"soft, artisan, soft-ripened",High,"buttery, creamy, runny, spreadable",bloomy,pale yellow,"buttery, creamy, subtle",rich,TRUE,FALSE
Sonnet,"goat, sheep",United States,Brie,"soft, artisan",High,"smooth, spreadable",bloomy,white,"lemony, smooth",rich,TRUE,FALSE
Pont l'Eveque,cow,France,Brie,soft,High,creamy,washed,pale yellow,"creamy, full-flavored","buttery, spicy",TRUE,FALSE
La Sauvagine,cow,Canada,Brie,soft,High,"buttery, creamy, runny, supple",washed,ivory,"buttery, creamy",mushroom,TRUE,FALSE
Pont l'Eveque,cow,France,Brie,soft,High,creamy,washed,pale yellow,"creamy, full-flavored","goaty, lactic",TRUE,FALSE
President Brie,cow,France,Brie,"soft, artisan, soft-ripened",High,"buttery, creamy, runny, spreadable",bloomy,pale yellow,"buttery, creamy, subtle",rich,TRUE,FALSE
Le Brebiou,sheep,France,Brie,"semi-soft, artisan, soft-ripened",High,"creamy, firm, smooth",bloomy,white,"mild, milky, sweet",musty,FALSE,FALSE
Buchette d'Anjou,goat,France,Brie,soft,High,"firm, grainy",artificial,ivory,"acidic, citrusy",aromatic,FALSE,FALSE
Sharpham Elmhirst,cow,"England, Great Britain, United Kingdom",Brie,"soft, artisan, soft-ripened",High,"creamy, smooth, soft, soft-ripened, spreadable",bloomy,white,"creamy, full-flavored, milky, smooth","fresh, mild, milky, rich",TRUE,FALSE
Sunset Bay,goat,United States,Brie,"soft, artisan",High,"creamy, dense, smooth",bloomy,ivory,"creamy, savory, smokey , smooth","buttery, smokey, yeasty",TRUE,FALSE
Morcella,sheep,United States,Brie,"semi-soft, soft-ripened",High,creamy,bloomy,ivory,"creamy, earthy",strong,TRUE,FALSE
Brie Coco,cow,Canada,Brie,"soft, soft-ripened",High,"buttery, creamy, smooth, soft-ripened",bloomy,pale yellow,"acidic, buttery, creamy, salty","mushroom, nutty",TRUE,FALSE
Cremet,"cow, goat","England, Great Britain, United Kingdom",Brie,"soft, artisan, soft-ripened",High,"creamy, smooth, soft, soft-ripened",bloomy,white,"creamy, lemony","fresh, rich",TRUE,FALSE
Lincoln Log,goat,United States,Brie,"semi-soft, soft-ripened",High,"creamy, dense",mold ripened,white,"citrusy, lemony, mild, mushroomy, tangy","goaty, milky",FALSE,FALSE
Moses Sleeper,cow,United States,Brie,"semi-soft, artisan",High,"soft, soft-ripened",bloomy,white,"buttery, creamy, nutty","milky, mushroom",FALSE,FALSE
Aspen Ash,goat,United States,Brie,"soft, soft-ripened",High,creamy,ash coated,white,"acidic, creamy",earthy,TRUE,FALSE
Provel,cow,United States,Brie,"soft, processed",High,"buttery, gooey",plastic,white,buttery,smokey,FALSE,FALSE
Shamembert,plant-based,United Kingdom,Brie,soft,High,"soft, soft-ripened",mold ripened,white,"earthy, full-flavored, mushroomy, savory, strong",earthy,TRUE,TRUE
Brie de Melun,cow,France,Brie,"semi-soft, soft-ripened",High,firm,bloomy,yellow,"salty, sharp, sour, strong","grassy, musty",TRUE,FALSE
